id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
5436,5447,6860,337,Gl 53.3,43Bet And,Mirach,1.162194,35.620558,60.5327,175.59,-112.23,-0.8,2.07,-1.84,M0IIIvar,1.576,46.946371,14.741814,35.255129,0.00000223,0.00005471,-0.00002725,0.30426179273798976,0.6216960120690613,0.0000008512843417,-0.000000544106393,Bet,43,And,1,5436,,474.2419852602448,,,
5517,5529,7199,,,,Emiw,1.179757,-66.188164,35.2983,111.79,-123.84,0.0,8.06,5.321,K0IV/V,0.849,13.576752,4.332049,-32.293578,-0.00002428,0.00001233,-0.00000856,0.3088597442656181,-1.1552013884410424,0.0000005419732135,-0.000000600393262,,,Tuc,1,5517,,0.6480372941922908,,,
5725,5737,7344,361,,86Zet Psc,Revati,1.228857,7.575354,53.3049,141.66,-55.62,9.0,5.21,1.576,A7IV,0.32,50.128801,16.707567,7.027196,-0.00000112,0.00003821,-0.00001303,0.3217139943867739,0.13221486453302125,0.0000006867870599,-0.000000269653369,Zet,86,Psc,1,5725,,20.398583002685616,,5.256,5.036
5731,5743,7345,362,,86Zet Psc,Revati B,1.22924,7.578261,93.985,154.42,-47.11,11.0,6.44,1.575,F7V,0.492,88.381439,29.46675,12.394783,-0.00000899,0.00007117,-0.00001979,0.3218143416812483,0.132265609537415,0.0000007486492855,-0.000000228395724,Zet,86,Psc,1,5731,,20.417379446695286,,,
6397,6411,8207,390,,46Xi  And,Adhil,1.372337,45.528778,65.7462,32.21,8.73,-13.0,4.87,0.781,K0III-IV,1.077,43.117698,16.194066,46.916563,-0.00001419,0.00000564,-0.00000754,0.35927688338675695,0.7946270763370474,0.0000001561584865,0.000000042324234,Xi,46,And,1,6397,,42.42286549229506,,,
6629,6643,8574,,,,Bélénos,1.420138,28.566693,44.5633,252.59,-158.59,0.0,7.12,3.875,F8,0.577,36.464195,14.218374,21.309341,-0.00000456,0.00005679,-0.00003009,0.37179122417016247,0.49858285342236874,0.0000012245908757,-0.000000768866015,,,Psc,1,6629,,2.4547089156850297,,,
6672,6686,8538,403,,37Del Cas,Ruchbah,1.430216,60.235283,30.4785,297.24,-49.49,7.0,2.66,0.24,A5Vv SB,0.16,14.082378,5.53413,26.457567,-0.00000685,0.0000445,0.00000258,0.37442958727661074,1.0513040155749624,0.0000014410601841,-0.00000023993429,Del,37,Cas,1,6672,,69.82324040771711,Del,2.666,2.656
7083,7097,9270,437,,99Eta Psc,Alpherg,1.524725,15.345823,107.1811,25.73,-3.29,15.0,3.62,-1.531,G8III,0.974,95.233975,40.171366,28.364911,0.00000885,0.00001824,0.00000241,0.3991719864974001,0.26783513743426246,0.00000012474256,-0.00000001595037,Eta,99,Psc,1,7083,,356.77958828856265,,,
7499,7513,9826,458,Gl 61,50Ups And,Titawin,1.613299,41.405459,13.4916,-172.57,-381.01,-28.7,4.1,3.45,F8V,0.536,9.229933,4.147969,8.92295,-0.00000042,-0.00001256,-0.0000381,0.4223606833740253,0.7226615840997149,-0.0000008366429685,-0.000001847188604,Ups,50,And,1,7499,,3.630780547701012,,,
7574,7588,10144,472,,Alp Eri,Achernar,1.628556,-57.236757,42.7533,88.02,-40.08,16.0,0.45,-2.705,B3Vp,-0.158,21.065573,9.568417,-35.951967,-0.00000584,0.00001738,-0.00001826,0.42635506591376426,-0.9989698692415762,0.0000004267330016,-0.000000194313323,Alp,,Eri,1,7574,,1051.9618738232234,Alp,0.487,0.427
7593,7607,9927,464,,51    And,Nembus,1.633205,48.628213,54.3183,60.9,-112.42,16.0,3.59,-0.085,K3III,1.275,32.669331,14.886999,40.762548,0.00002341,0.00002829,-0.00000729,0.42757205945090027,0.8487224280090337,0.0000002952515315,-0.000000545027539,,51,And,1,7593,,94.18895965228413,,,
7736,7751,10360,486,Gl 66B,,p Eridani,1.663169,-56.1964,7.8223,286.1,16.66,22.5,5.76,6.293,K0V,0.88,3.945945,1.835674,-6.500103,0.00000751,0.00001546,-0.00001877,0.43541673470447556,-0.9808122092628587,0.0000013870519401,0.000000080769959,,,Eri,2,118084,Gl 66,0.26472807400175613,,,
8183,8198,10761,510,,110Omi Psc,Torcular,1.756564,9.157736,85.6898,70.82,38.99,14.0,4.26,-0.405,K0III,0.942,75.808974,37.546943,13.637807,-0.0000027,0.00003149,0.00001827,0.459867349269175,0.15983264100247252,0.0000003433450486,0.000000189028854,Omi,110,Psc,1,8183,,126.4736347471151,,,
8628,8645,11353,539,,55Zet Cet,Baten Kaitos,1.857676,-10.335038,72.0461,38.78,-38.04,9.0,3.74,-0.548,K2III,1.136,62.65906,33.12747,-12.925362,-0.00000043,0.00001509,-0.00001472,0.48633841109402154,-0.180380435702335,0.0000001880107453,-0.000000184423124,Zet,55,Cet,1,8628,,144.27796231294775,,,
8777,8796,11443,544,Gl 78.1,2Alp Tri,Mothallah,1.884696,29.578829,19.4175,12.02,-233.69,-16.2,3.42,1.979,F6IV,0.488,14.872602,7.99818,9.584806,-0.00000366,-0.00000069,-0.00002731,0.49341234590278854,0.5162479585904625,0.0000000582746044,-0.00000113296109,Alp,2,Tri,1,8777,,14.073431383183483,Alp,3.429,3.409
8813,8832,11502,546,,5Gam2Ari,Mesarthim,1.89217,19.293852,50.3018,79.43,-99.1,-1.0,3.88,0.372,A1p Si,-0.047,41.769649,22.568336,16.620371,-0.00000303,0.00002038,-0.00002315,0.4953689125156816,0.3367412380593763,0.0000003850875065,-0.000000480450357,Gam-2,5,Ari,1,8813,,61.83010727517132,Gam,3.892,3.872
8867,8886,11415,542,,45Eps Cas,Segin,1.906584,63.670101,126.2626,31.98,-18.66,-8.0,3.35,-2.156,B2pvar,-0.15,49.169644,26.806887,113.163436,-0.00000357,0.00002035,-0.0000124,0.4991424996298816,1.11125290442047,0.000000155043415,-0.000000090466232,Eps,45,Cas,1,8867,,634.453795775715,,,
8884,8903,11636,553,Gl 80,6Bet Ari,Sheratan,1.910668,20.808035,17.9856,96.32,-108.8,-4.0,2.64,1.365,A5V...,0.165,14.752622,8.063457,6.389157,-0.00000443,0.00000715,-0.00001032,0.5002117420096996,0.363168721573765,0.0000004669725371,-0.000000527477284,Bet,6,Ari,1,8884,,24.774220576332848,,,
9467,9487,12446,595,,113Alp Psc,Alrescha,2.034117,2.763759,46.1681,33.29,-0.42,9.0,3.82,0.498,A2,0.024,39.728779,23.413015,2.226137,0.00000414,0.00001109,0.00000035,0.5325304992016497,0.04823670218310125,0.0000001613944743,-0.000000002036217,Alp,113,Psc,1,9467,,55.055409848479435,Alp,3.832,3.812
9618,9640,12533,603,,57Gam1And,Almach,2.064984,42.329725,120.4819,43.08,-50.85,-12.0,2.1,-3.305,B8V,1.37,76.368059,45.840864,81.131974,-0.00000358,0.0000272,-0.00003022,0.5406116765051688,0.738793066882135,0.0000002088577336,-0.000000246527756,Gam-1,57,And,1,9618,,1828.1002161427427,,,
9861,9884,12929,617,Gl 84.3,13Alp Ari,Hamal,2.119555,23.462423,20.1776,190.73,-145.77,-14.4,2.01,0.486,K2III,1.151,15.731986,9.751722,8.03361,-0.00001649,0.00001173,-0.00001894,0.554898130994913,0.4094965332621075,0.0000009246851329,-0.000000706712902,Alp,13,Ari,1,9861,,55.6672798150948,,,
10800,10826,14386,681,,68Omi Cet,Mira,2.322442,-2.977643,91.659,10.33,-239.48,64.0,6.47,1.659,M5e-M9e,0.966,75.131148,52.288786,-4.761374,0.00004649,0.00003795,-0.00010967,0.6080139982109655,-0.051969667028267504,0.0000000500812532,-0.000001161031802,Omi,68,Cet,1,10800,,18.897310544316767,Omi,8.511,4.871
11734,11767,8890,424,,1Alp UMi,Polaris,2.52975,89.264109,132.626,44.22,-11.74,-17.0,1.97,-3.643,F7:Ib-IIv SB,0.636,1.3431,1.047629,132.614909,-0.00001171,0.00002692,-0.00001748,0.6622870748653336,1.5579526129751475,0.0000002143846095,-0.000000056917126,Alp,1,UMi,1,11734,,2495.743794831569,Alp,1.993,1.953
12082,12114,16160,753,Gl 105A,,268 G. Cet,2.601357,6.88687,7.1803,1806.27,1442.5,26.0,5.79,6.509,K3V,0.918,5.538462,4.488223,0.861013,-0.00002374,0.00006168,0.00005304,0.681033735135593,0.1201985615767425,0.0000087570440678,0.000006993437342,,,Cet,1,12082,Gl 105,0.21697015538008513,,,
12159,12191,16175,,,,Buna,2.6172,42.062633,57.8704,-38.74,-39.91,0.0,7.28,3.468,G0,0.656,33.267021,27.188006,38.769845,0.00001269,-0.00000367,-0.00000831,0.6851812706028263,0.7341314379700338,-0.0000001878168198,-0.000000193489139,,,And,1,12159,,3.5710834580834563,,,
12673,12706,16970,804,Gl 106.1A,86Gam Cet,Kaffaljidhma,2.721678,3.235818,24.4081,-146.43,-145.27,-5.1,3.47,1.532,A3V,0.093,18.440324,15.931398,1.377729,0.00000812,-0.00001588,-0.00001746,0.7125335102641163,0.05647568647271125,-0.0000007099126724,-0.000000704288833,Gam,86,Cet,1,12673,Gl 106.1,21.242224773886967,,,
12928,12961,,,,,Koeia,2.778575,-23.086611,23.015,292.67,141.42,0.0,10.25,8.44,M0,1.389,15.812912,14.078244,-9.024692,-0.00001709,0.0000285,0.00001451,0.7274292964117403,-0.4029373747943138,0.0000014189041989,0.000000685623507,,,Eri,1,12928,,0.03664375746478333,,,
13028,13061,17361,824,,39    Ari,Lilii Borea,2.79848,29.247118,52.6039,148.42,-125.76,-15.0,4.52,0.915,K1III,1.112,34.120953,30.698125,25.701009,-0.00002362,0.00002966,-0.00003548,0.732640352154066,0.510458508110265,0.0000007195604647,-0.000000609701684,,39,Ari,1,13028,,37.49730022454834,,,
13159,13192,17156,,,,Nushagak,2.828992,71.753232,75.0188,91.0,-32.45,0.0,8.17,3.794,G5,0.643,17.335912,15.849496,71.246614,-0.00001406,0.00003199,-0.0000037,0.7406283633289314,1.2523301484321587,0.0000004411804493,-0.000000157322039,,,Cas,1,13159,,2.6448436268543603,,,
13176,13209,17573,838,,41    Ari,Bharani,2.833063,27.260507,50.7872,65.47,-116.59,4.0,3.61,0.081,B8Vn,-0.1,33.287607,30.498162,23.26243,0.00000149,0.00002322,-0.00002364,0.7416942123157708,0.4757856031126375,0.0000003174075167,-0.00000056524427,,41,Ari,1,13176,,80.83510373900673,,,
13234,13268,17506,834,,15Eta Per,Miram,2.844945,55.895496,269.5418,16.64,-13.76,-1.0,3.77,-3.383,K3Ib comp SB,1.69,111.116108,102.442422,223.184985,-0.00000421,0.00002569,-0.00001093,0.7448048908887189,0.9755604422843326,0.0000000806729964,-0.000000066710362,Eta,15,Per,1,13234,,1964.264645879858,,,
13254,13288,17824,850,,2Tau2Eri,Angetenar,2.850645,-21.004019,57.3066,-39.0,-16.63,-9.0,4.76,0.969,K0III,0.906,39.279245,36.32166,-20.540573,-0.00000017,-0.00001491,-0.00000101,0.7462971985733151,-0.3665892924645063,-0.0000001890773354,-0.000000080624515,Tau-2,2,Eri,1,13254,,35.67795882885623,,,
13667,13701,18322,874,,3Eta Eri,Azha,2.940458,-8.898144,41.8585,77.73,-219.99,-20.0,3.89,0.781,K1III-IV,1.088,29.694338,28.782724,-6.474577,-0.00003045,-0.00000754,-0.00004094,0.7698101253996465,-0.15530191723913125,0.0000003768456739,-0.000001066541615,Eta,3,Eri,1,13667,,42.42286549229506,,,
13813,13847,18622,897,,The1Eri,Acamar,2.971023,-40.304672,49.4315,-53.53,25.71,12.0,2.88,-0.59,A4III+...,0.128,26.85749,26.453029,-31.974932,0.00001851,0.00000023,-0.00000324,0.777812118193322,-0.7034492363510262,-0.0000002595207632,0.000000124645597,The-1,,Eri,1,13813,,149.96848355023724,,,
13959,13993,18742,,,,Ayeyarwady,3.002961,-20.802604,135.318,-18.14,-22.2,0.0,7.81,2.153,G8/K0IV,0.936,89.377224,89.515869,-48.058112,0.00000477,-0.00001207,-0.00001361,0.7861732404794856,-0.36307392675057376,-0.0000000879452017,-0.000000107628637,,,Eri,1,13959,,11.989470404794204,,,
14100,14135,18884,911,,92Alp Cet,Menkar,3.037992,4.089734,76.3942,-11.81,-78.76,-26.0,2.54,-1.875,M2III,1.63,53.342561,54.414384,5.448321,-0.00001399,-0.00002052,-0.00003099,0.7953445140056629,0.0713793229065275,-0.0000000572564957,-0.000000381839254,Alp,92,Cet,1,14100,,489.77881936844614,Alp,2.561,2.521
14540,14576,19356,936,,26Bet Per,Algol,3.136148,40.955648,27.571,2.39,-1.44,4.0,2.09,-0.112,B8V,-0.003,14.189428,15.238793,18.072114,0.00000196,0.00000257,0.00000254,0.821041501386661,0.7148108979134763,0.000000011587047,-0.000000006981317,Bet,26,Per,1,14540,,96.56060985415496,Bet,2.213,2.073
14632,14668,19476,941,,27Kap Per,Misam,3.158258,44.857544,34.5662,173.01,-142.05,29.0,3.79,1.097,K0III,0.98,16.593574,18.028979,24.381331,0.00000428,0.00004746,0.00000405,0.8268300972913014,0.7829118300689613,0.0000008387761487,-0.000000688677833,Kap,27,Per,1,14632,,31.71027438947892,,,
14802,14838,19787,951,,57Del Ari,Botein,3.193822,19.726677,52.0291,154.61,-8.39,25.0,4.35,0.769,K2IIIvar,1.033,32.830084,36.343153,17.561644,-0.00001233,0.00004453,0.00000664,0.8361406877412756,0.3442954700861638,0.0000007495704315,-0.000000040675867,Del,57,Ari,1,14802,,42.89434099967816,,,
14843,14879,20010,963,Gl 127A,Alp For,Dalim,3.201249,-28.987618,14.2369,371.49,612.26,-20.0,3.8,3.033,F8V,0.543,8.329775,9.25728,-6.899408,-0.00001733,0.00001907,0.00004687,0.8380850470504916,-0.5059293771979,0.0000018010343419,0.00000296832024,Alp,,For,1,14843,Gl 127,5.330893422367013,,,
15159,15197,20320,984,,13Zet Eri,Zibal,3.263896,-8.81973,33.6474,-3.82,45.52,-4.0,4.8,2.165,A5m,0.232,21.831836,25.077889,-5.15902,-0.00000144,-0.0000026,0.00000796,0.8544858979510274,-0.15393332498711373,-0.0000000185198826,0.000000220687187,Zet,13,Eri,1,15159,,11.857687481671597,,,
15471,15510,20794,1008,Gl 139,,82 G. Eri,3.331944,-43.069784,6.0434,3038.08,726.34,86.7,4.26,5.354,G8V,0.711,2.839238,3.381499,-4.127499,-0.00001715,0.00011797,-0.00004501,0.8723007989903294,-0.7517095357877388,0.0000147290274662,0.000003521395687,,,Eri,1,15471,,0.6286370884130494,,,
15539,15578,20868,,,,Intan,3.345183,-33.730104,46.2107,293.78,95.99,0.0,9.92,6.596,K3/K4IV,1.037,24.611899,29.516952,-25.659946,-0.0000429,0.00005132,0.00001788,0.8757669184992689,-0.5887013679893037,0.0000014242856307,0.000000465372651,,,For,1,15539,,0.20026266903409015,,9.973,9.843
15824,15863,20902,1017,,33Alp Per,Mirfak,3.405378,49.86118,155.2795,24.11,-26.01,-2.0,1.79,-4.166,F5Ib,0.481,62.885098,77.880689,118.708804,-0.00000555,0.00002202,-0.00001419,0.8915260037750609,0.8702417516246674,0.0000001168885784,-0.000000126100038,Alp,33,Per,1,15824,,4040.173353730007,,,
16496,16537,22049,1084,Gl 144,18Eps Eri,Ran,3.548848,-9.458262,3.2161,-976.44,17.97,16.9,3.72,6.183,K2V,0.881,1.89897,2.541426,-0.528523,0.00002243,0.00000458,-0.00000256,0.9290861752463538,-0.1650778156910925,-0.0000047339147024,0.000000087121018,Eps,18,Eri,1,16496,,0.2929543829769431,Eps,3.735,3.715
17055,17096,23079,,,,Tupi,3.661992,-52.915838,33.8868,-193.62,-91.92,0.0,7.12,4.47,F8/G0V,0.583,11.740637,16.723573,-27.033217,0.00001911,-0.00002813,-0.00000911,0.9587071434078275,-0.9235555983564313,-0.0000009386962483,-0.000000445640735,,,Ret,1,17055,,1.4190575216890922,,,
17336,17378,23249,1136,Gl 150,23Del Eri,Rana,3.720806,-9.763395,9.0408,-91.71,742.23,-5.1,3.52,3.739,K0IV,0.915,5.006502,7.370189,-1.533131,0.00000354,-0.00000195,0.00003294,0.9741048015520187,-0.17040338171491623,-0.0000004446226264,0.000003598432581,Del,23,Eri,1,17336,,2.782274657675122,Del,3.531,3.511
17406,17448,23180,1131,,38Omi Per,Atik,3.738648,32.288248,343.6426,8.11,-10.32,19.0,3.84,-3.841,B1III,0.022,162.113525,241.065988,183.56674,0.00000308,0.00002879,-0.00000415,0.9787756370359081,0.5635362392132537,0.0000000393183895,-0.000000050032771,Omi,38,Per,1,17406,,2995.021883751126,Omi,3.862,3.822
17447,17489,23288,1140,,16    Tau,Celaeno,3.746726,24.28947,115.6069,20.73,-44.0,3.0,5.45,0.135,B7IV,-0.034,58.617318,87.564472,47.554545,-0.00000246,0.00001722,-0.00002121,0.9808906153914148,0.42393122746733375,0.000000100501876,-0.000000213318019,,16,Tau,1,17447,,76.91304402866098,,,
17457,17499,23302,1142,,17    Tau,Electra,3.747927,24.113339,124.0695,21.55,-44.92,12.0,3.72,-1.748,B6III,-0.105,62.965631,94.124106,50.687766,0.00000159,0.00002569,-0.00001965,0.9812049121767964,0.42085716243983123,0.0000001044773482,-0.000000217778305,,17,Tau,1,17457,,435.7124805030843,,,
17489,17531,23338,1145,,19    Tau,Taygeta,3.75347,24.467278,125.4705,19.35,-41.63,6.0,4.3,-1.193,B6V,-0.11,63.361504,95.01397,51.966577,-0.00000087,0.0000199,-0.00002051,0.9826562478501628,0.4270345520055688,0.0000000938114472,-0.000000201827935,,19,Tau,1,17489,,261.33645761890233,,,
17532,17573,23408,1149,,20    Tau,Maia,3.763779,24.367748,117.5088,21.09,-45.03,8.0,3.87,-1.48,B8III,-0.063,59.14718,89.215057,48.48319,-0.00000005,0.00002167,-0.00001999,0.9853551086630458,0.42529744177350004,0.0000001022472052,-0.0000002183116,,20,Tau,1,17532,,340.4081897010009,,,
17537,17579,23432,1151,,21    Tau,Asterope,3.765132,24.554511,114.0251,19.44,-45.36,9.0,5.76,0.475,B8V,-0.036,57.278032,86.462186,47.384166,0.00000142,0.0000216,-0.00001898,0.9857092506680706,0.4285570627745062,0.0000000942477795,-0.000000219911485,,21,Tau,1,17537,,56.23413251903491,,,
17566,17608,23480,1156,,23    Tau,Merope,3.772104,23.948358,116.5501,21.17,-42.67,6.0,4.14,-1.193,B6IV,-0.051,58.663928,88.906234,47.309232,-0.00000151,0.00001944,-0.00001954,0.9875343910567416,0.4179777028875263,0.0000001026350562,-0.000000206869997,,23,Tau,1,17566,,261.33645761890233,V971,4.157,4.137
17661,17702,23630,1165,,25Eta Tau,Alcyone,3.79141,24.105137,123.6094,19.35,-43.11,10.0,2.85,-2.61,B7III,-0.086,61.664507,94.489136,50.483636,0.00000116,0.00002299,-0.0000194,0.9925887748501628,0.42071400922220126,0.0000000938114472,-0.000000209003177,Eta,25,Tau,1,17661,,963.8290236239706,,,
17805,17847,23850,1178,,27    Tau,Atlas,3.819373,24.053415,117.2333,17.77,-44.7,9.0,3.62,-1.725,B8III,-0.07,57.849417,90.077197,47.782936,0.00000164,0.00002124,-0.00001945,0.9999094198246715,0.41981129577249376,0.000000086151391,-0.000000216711715,,27,Tau,1,17805,,426.57951880159254,,,
17809,17851,23862,1180,,28    Tau,Pleione,3.819782,24.136712,117.096,18.71,-46.74,4.0,5.05,-0.293,B7p,-0.082,57.734463,89.91922,47.882552,-0.00000003,0.00000013,-0.00000021,1.0000165727005967,0.4212650952332525,0.0000000907086396,-0.000000226601914,,28,Tau,1,17809,,114.07750129221203,BU,5.071,5.031
18497,18543,25025,1231,,34Gam Eri,Zaurak,3.967157,-13.508515,62.3441,60.51,-111.34,62.0,2.97,-1.004,M1IIIb Ca-1,1.588,30.760217,52.235828,-14.56308,0.00001154,0.00005563,-0.00004753,1.0385992839066334,-0.23576806917607127,0.0000002933607581,-0.000000539791551,Gam,34,Eri,1,18497,,219.5836500973188,Gam,3.0,2.95
18567,18614,24912,1228,,46Xi  Per,Menkib,3.98275,35.791033,381.6794,1.92,2.3,70.0,3.98,-3.928,O7.5Iab:,0.016,156.01015,267.421217,223.218208,0.00002494,0.0000498,0.00004532,1.0426815704486982,0.6246713605687475,0.0000000093084227,0.000000011150714,Xi,46,Per,1,18567,,3244.890156605363,Xi,3.99,3.97
19538,19587,26574,1298,,38Omi1Eri,Beid,4.197761,-6.837581,37.3134,11.92,81.28,11.0,4.04,1.181,F2II-III,0.327,16.838836,33.000244,-4.442368,0.00000395,0.00001249,0.00001326,1.098971297660669,-0.11933830300510874,0.0000000577897907,0.000000394056559,Omi-1,38,Eri,1,19538,,29.349452222697927,Omi-1,4.062,4.022
19799,19849,26965,1325,Gl 166A,40Omi2Eri,Keid,4.254537,-7.652871,4.9845,-2239.33,-3419.86,-42.7,4.43,5.942,K1V,0.82,2.179524,4.432894,-0.66374,0.00002462,-0.00007258,-0.00007609,1.1138350819408132,-0.13356778855493126,-0.0000108565781928,-0.000016579949135,Omi-2,40,Eri,1,19799,Gl 166,0.3657631930094519,,,
